episode_rank,first_ts_us,n_flows,n_labelled_malicious,episode_evalue,alerted_by_eLOND,alerted_by_ADDIS,label_says,analyst_verdict,notes
1148,1678367887566247,78,78,1813114.0,1,1,malicious,,
1160,1678367887849760,21,21,1467759.0,1,1,malicious,,
1172,1678367888160609,93,93,935800.8,1,1,malicious,,
1215,1678367889275399,78,78,1813114.0,1,1,malicious,,
1266,1678367890358432,78,78,1813114.0,1,1,malicious,,
1355,1678367892711220,78,78,1766623.9,1,1,malicious,,
1369,1678367892995005,77,77,1813114.0,1,1,malicious,,
1575,1678367900898210,21,21,1813114.0,1,1,malicious,,
1623,1678367903388550,21,21,1381420.2,1,1,malicious,,
1873,1678367916686476,20,20,1813114.0,1,1,malicious,,
2324,1678367949715249,18,18,1813114.0,1,1,malicious,,
2361,1678367954049831,21,21,1726775.2,1,1,malicious,,
2416,1678367956964381,40,40,1677130.4,1,1,malicious,,
2472,1678367960449497,21,21,1813114.0,1,1,malicious,,
2480,1678367961344723,20,20,1541146.9,1,1,malicious,,
2597,1678367967619912,21,21,1813114.0,1,1,malicious,,
2637,1678367971580182,18,18,1813114.0,1,1,malicious,,
2712,1678367975921030,62,62,1813114.0,1,1,malicious,,
2956,1678367986825772,20,20,1813114.0,1,1,malicious,,
7363,1678368698606352,12,12,1510928.3,1,1,malicious,,
8499,1678368984874225,149,149,1764439.8,1,1,malicious,,
13871,1678370400013287,32782,32782,1806145.2,1,1,malicious,,
13872,1678370400022410,149032,149032,873039.8,1,1,malicious,,
13873,1678370400037403,5783,5783,1808724.7,1,1,malicious,,
13874,1678370400042258,117619,117619,884860.2,1,1,malicious,,
13875,1678370400048445,4721,4721,1801976.5,1,1,malicious,,
13876,1678370400053738,405,405,1772822.6,1,1,malicious,,
13877,1678370400072246,140316,140316,868980.8,1,1,malicious,,
13880,1678370400125534,4765,4765,1805123.4,1,1,malicious,,
13900,1678370400284280,382,382,1813114.0,1,1,malicious,,
13937,1678370400624488,382,382,1794128.5,1,1,malicious,,
13954,1678370400847746,3905,3905,1797791.9,1,1,malicious,,
13960,1678370400875630,344,344,1792031.3,1,1,malicious,,
13996,1678370401472676,571,571,279429.1,1,1,malicious,,
14005,1678370401546077,382,382,1741918.4,1,1,malicious,,
14094,1678370402413055,867,867,1712734.0,1,1,malicious,,
14099,1678370402470541,344,344,1813114.0,1,1,malicious,,
14109,1678370402850098,382,382,1813114.0,1,1,malicious,,
14115,1678370402917794,10,10,1269179.8,1,1,malicious,,
14138,1678370403283291,28,28,1100819.2,1,1,malicious,,
14149,1678370403601802,202,202,1813114.0,1,1,malicious,,
14190,1678370404555517,197,197,1813114.0,1,1,malicious,,
14199,1678370404831245,287,287,1800479.1,1,1,malicious,,
14209,1678370404955819,384,384,1803670.7,1,1,malicious,,
14252,1678370405836846,8,8,1359835.5,1,1,malicious,,
14260,1678370405959049,271,271,869759.5,1,1,malicious,,
14275,1678370406348742,82,82,1746780.6,1,1,malicious,,
14281,1678370406567949,113,113,1797068.7,1,1,malicious,,
14290,1678370406869169,169,169,1802385.5,1,1,malicious,,
14296,1678370407048018,570,570,1342340.5,1,1,malicious,,
14310,1678370407451178,572,572,1103083.3,1,1,malicious,,
14315,1678370407600572,50,50,1740589.4,1,1,malicious,,
14331,1678370408064502,572,572,1106253.1,1,1,malicious,,
14384,1678370408920149,570,570,1199200.0,1,1,malicious,,
14397,1678370409332144,70,70,1787212.4,1,1,malicious,,
14410,1678370409893658,135,135,1786253.1,1,1,malicious,,
14544,1678370413354568,401,401,1813114.0,1,1,malicious,,
14630,1678370415452135,2,2,906557.0,1,1,malicious,,
14636,1678370415548131,12,12,1359835.5,1,1,malicious,,
14747,1678370418048549,30,30,1813114.0,1,1,malicious,,
14755,1678370418357436,55,55,857108.4,1,1,malicious,,
14768,1678370418819191,134,134,1772521.9,1,1,malicious,,
14876,1678370422690439,1078,0,11773.5,1,1,benign,,
14931,1678370425473889,27,27,1343047.4,1,1,malicious,,
14942,1678370426081863,192,192,1076536.4,1,1,malicious,,
14947,1678370426223320,166,166,1802191.6,1,1,malicious,,
14969,1678370427013681,111,111,1813114.0,1,1,malicious,,
15022,1678370430044070,111,111,1796779.6,1,1,malicious,,
15110,1678370434010241,111,111,1796779.6,1,1,malicious,,
15118,1678370434152715,168,168,1780737.0,1,1,malicious,,
15123,1678370434512541,69,69,1734283.0,1,1,malicious,,
15132,1678370435057322,41,41,796001.3,1,1,malicious,,
15147,1678370435837517,1152,0,4721.7,0,1,benign,,
15227,1678370440313575,30,30,1390054.1,1,1,malicious,,
15424,1678370450147728,27,27,1745961.6,1,1,malicious,,
15507,1678370458202210,40,40,1178524.1,1,1,malicious,,
15510,1678370458666402,120,120,1737567.6,1,1,malicious,,
15562,1678370462441571,54,54,1343047.4,1,1,malicious,,
15718,1678370470622513,60,60,1752676.9,1,1,malicious,,
15750,1678370471459088,151,151,1729062.4,1,1,malicious,,
15850,1678370479952766,79,79,1744261.6,1,1,malicious,,
15991,1678370487925711,22,22,1730699.7,1,1,malicious,,
16012,1678370488519285,68,68,1706460.2,1,1,malicious,,
16067,1678370491020880,32,32,1699794.4,1,1,malicious,,
16126,1678370495066512,3,3,1208742.7,1,1,malicious,,
16198,1678370503294536,30,30,1752676.9,1,1,malicious,,
16281,1678370509439109,30,30,1752676.9,1,1,malicious,,
16470,1678370516612193,30,30,1752676.9,1,1,malicious,,
23253,1678372119605692,357,357,528190.1,1,1,malicious,,
23763,1678372325400512,7,7,1036065.1,1,1,malicious,,
24273,1678372545659253,91,91,1295081.4,1,1,malicious,,
26766,1678373620826813,13,0,139470.3,1,1,benign,,
27607,1678374661108109,34,34,1013210.8,1,1,malicious,,
27704,1678374662472607,14,14,1165573.3,1,1,malicious,,
27820,1678374666091077,563,0,109495.3,1,1,benign,,
27983,1678374704806268,190,190,1803571.3,1,1,malicious,,
28006,1678374716256346,188,0,9644.2,1,1,benign,,
28018,1678374719893734,58,58,1813114.0,1,1,malicious,,
28024,1678374724252755,57,57,1813114.0,1,1,malicious,,
28051,1678374760911785,57,57,1685877.9,1,1,malicious,,
28067,1678374775621781,55,55,1714216.9,1,1,malicious,,
