rank,utc,first_ts_us,last_ts_us,span_s,src,dst,service,dport,seg_src,seg_dst,n_flows,n_labelled_malicious,n_labelled_malicious_group,evalue,alerted_by_eLOND,alerted_by_ADDIS,label_says,E1_confirmed_compromise_host,E1_steps_within_15min,E1_sec_to_nearest_step,E2_src_is_attack_source,E2_dst_is_attack_target,E2_service_carries_attack,verdict,reason,human_verdict,human_notes
78,2023-03-09 13:17:45,1678367865059324,1678370378551469,2513.492145061493,100.101.0.115,10.5.1.25,,54774,,beg_int,82,82,208,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
90,2023-03-09 13:17:45,1678367865227467,1678370386872614,2521.6451468467712,10.5.8.36,100.101.1.193,,80,baf_int,,188,188,531,1803469.7765957448,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
112,2023-03-09 13:17:45,1678367865488575,1678370399546921,2534.0583460330963,100.97.5.90,162.210.158.14,TLS,443,5g_dmz,,79,79,222,1790163.1898734176,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
120,2023-03-09 13:17:45,1678367865656721,1678370366794060,2501.1373388767242,100.101.0.115,10.5.8.33,,56148,,baf_int,41,41,116,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
166,2023-03-09 13:17:46,1678367866120549,1678370397870374,2531.749825000763,2a07:1182:0005:1001:0000:0000:0000:0006,2a00:16e0:0100:0000:c16d:8ed9:e86a:1111,TLS,443,baf_int,,266,266,756,811129.947368421,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
195,2023-03-09 13:17:46,1678367866816374,1678370393569535,2526.7531609535217,10.5.1.3,185.20.59.250,TLS,443,beg_int,,535,535,1513,1796169.0093457943,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
236,2023-03-09 13:17:47,1678367867638159,1678370397734206,2530.096046924591,10.5.1.22,185.20.59.250,TLS,443,beg_int,,267,267,755,1799532.6217228465,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
250,2023-03-09 13:17:48,1678367868060686,1678370392692451,2524.6317648887634,100.101.0.115,10.5.8.37,,57791,,baf_int,83,83,232,1813114.0,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
268,2023-03-09 13:17:48,1678367868242113,1678370391112248,2522.870134830475,10.5.8.31,57.70.176.80,,80,baf_int,,266,266,756,1772216.6917293232,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
272,2023-03-09 13:17:48,1678367868319206,1678370397209526,2528.8903200626373,2a07:1182:0005:1001:0000:0000:0000:0008,2a00:16e0:0100:0000:c16d:8ed9:e86a:1111,TLS,443,baf_int,,267,267,757,1072928.883895131,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
281,2023-03-09 13:17:48,1678367868589477,1678369659753247,1791.1637699604034,2a07:1182:0005:1001:0000:0000:0000:0032,2a00:16e0:0100:0000:c16d:8ed9:e86a:1111,TLS,443,baf_int,,190,190,679,133597.87368421053,True,True,malicious,False,11,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
293,2023-03-09 13:17:48,1678367868905092,1678370370009838,2501.1047461032867,100.101.0.115,10.5.1.23,,64427,,beg_int,21,21,58,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
304,2023-03-09 13:17:49,1678367869057861,1678370296704814,2427.646952867508,2a07:1182:0101:0000:0000:0000:0000:015d,2a07:1182:0005:1001:0000:0000:0000:0007,,22,,baf_int,21,21,59,1726775.238095238,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
350,2023-03-09 13:17:50,1678367870008380,1678370392543271,2522.53489112854,10.5.8.7,57.70.176.80,,80,baf_int,,266,266,755,1806297.7819548873,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
364,2023-03-09 13:17:50,1678367870344735,1678370396563456,2526.218721151352,2a07:1182:0005:1001:0000:0000:0000:0037,2a00:16e0:0100:0000:c16d:8ed9:e86a:1111,TLS,443,baf_int,,266,266,755,790681.2932330827,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
389,2023-03-09 13:17:50,1678367870828666,1678370282309140,2411.4804739952087,2a07:1182:0005:1001:0000:0000:0000:0005,2a02:7500:45e6:25fe:72e9:2989:6210:a106,RDP,35450,baf_int,,21,21,59,1554097.7142857143,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
398,2023-03-09 13:17:51,1678367871055091,1678370398599560,2527.5444691181183,10.5.1.25,185.20.59.250,TLS,443,beg_int,,533,533,1513,1799507.1407129455,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
403,2023-03-09 13:17:51,1678367871275718,1678370390984304,2519.7085859775543,10.5.8.2,57.70.176.80,,80,baf_int,,265,265,754,1806272.0603773585,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
412,2023-03-09 13:17:51,1678367871434155,1678370398602864,2527.168709039688,2a07:1182:0005:1001:0000:0000:0000:0004,2a00:16e0:0100:0000:c16d:8ed9:e86a:1111,TLS,443,baf_int,,266,266,756,947454.3082706766,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
416,2023-03-09 13:17:51,1678367871565448,1678370391651746,2520.0862979888916,10.5.12.14,57.70.176.80,,80,baf_bg,,266,266,754,1785849.1278195488,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
425,2023-03-09 13:17:51,1678367871877923,1678370392360055,2520.482131958008,2a07:1182:0005:1001:0000:0000:0000:0005,2a00:16e0:0100:0000:c16d:8ed9:e86a:1111,TLS,443,baf_int,,266,266,757,231751.4135338346,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
431,2023-03-09 13:17:52,1678367872140338,1678370283691294,2411.5509560108185,2a07:1182:0005:1100:0000:0000:0000:0014,2a02:7500:45e6:25fe:72e9:2989:6210:a106,RDP,53234,baf_bg,,21,21,59,1467758.9523809524,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
441,2023-03-09 13:17:52,1678367872317745,1678370391851067,2519.533322095871,100.99.5.131,212.23.216.83,TLS,443,,,78,78,221,1789868.9487179487,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
444,2023-03-09 13:17:52,1678367872442239,1678370394915128,2522.472888946533,10.5.8.38,57.70.176.80,,80,baf_int,,273,273,762,1793189.6703296704,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
484,2023-03-09 13:17:53,1678367873262037,1678370393796623,2520.534585952759,10.5.8.8,57.70.176.80,,80,baf_int,,267,267,757,1813114.0,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
493,2023-03-09 13:17:53,1678367873424410,1678370391391638,2517.967227935791,10.5.1.2,57.70.176.80,,80,beg_int,,268,268,759,1799583.2985074627,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
613,2023-03-09 13:17:55,1678367875272858,1678370385516124,2510.243266105652,10.5.8.31,100.101.1.193,,80,baf_int,,188,188,538,1755248.6595744682,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
764,2023-03-09 13:17:58,1678367878132530,1678370394741076,2516.6085460186005,100.97.5.82,162.210.158.14,TLS,443,5g_dmz,,79,79,222,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
785,2023-03-09 13:17:58,1678367878966203,1678370378658550,2499.692347049713,10.5.8.8,100.101.1.193,,80,baf_int,,93,93,267,1813114.0,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
863,2023-03-09 13:18:00,1678367880484680,1678370399978088,2519.4934079647064,10.5.11.10,212.23.216.83,TLS,443,baf_5g_core,,79,79,222,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
882,2023-03-09 13:18:00,1678367880927034,1678370294418773,2413.4917390346527,2a07:1182:0005:0000:0000:0000:0000:0005,2a02:7500:45e6:25fe:72e9:2989:6210:a106,RDP,52014,beg_dmz,,21,21,59,1554097.7142857143,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
888,2023-03-09 13:18:01,1678367881053556,1678370395140036,2514.086480140686,10.5.11.27,212.23.216.83,TLS,443,baf_5g_core,,78,78,221,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
907,2023-03-09 13:18:01,1678367881378113,1678370397915521,2516.537407875061,10.5.11.21,162.210.158.14,TLS,443,baf_5g_core,,78,78,222,1766623.8974358975,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
924,2023-03-09 13:18:01,1678367881842848,1678370373875277,2492.0324289798737,100.97.5.88,212.23.216.83,TLS,443,5g_dmz,,78,78,222,1789868.9487179487,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
995,2023-03-09 13:18:03,1678367883959262,1678370378462860,2494.503598213196,10.5.8.7,100.101.1.193,,80,baf_int,,94,94,265,1813114.0,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
1114,2023-03-09 13:18:06,1678367886836035,1678370332637937,2445.8019020557404,2a02:7500:45e6:25fe:72e9:2989:6210:a106,2a07:1182:0005:1001:0000:0000:0000:0007,,22,,baf_int,42,42,118,949726.380952381,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
1148,2023-03-09 13:18:07,1678367887566247,1678370390419472,2502.853224992752,100.99.5.132,212.23.216.83,TLS,443,,,78,78,222,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
1160,2023-03-09 13:18:07,1678367887849760,1678370303901268,2416.051507949829,2a07:1182:0005:1001:0000:0000:0000:0008,2a02:7500:45e6:25fe:72e9:2989:6210:a106,RDP,48924,baf_int,,21,21,59,1467758.9523809524,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
1172,2023-03-09 13:18:08,1678367888160609,1678370397442336,2509.281727075577,10.5.8.3,100.101.1.193,,80,baf_int,,93,93,266,935800.7741935484,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
1215,2023-03-09 13:18:09,1678367889275399,1678370376378657,2487.1032581329346,100.97.5.85,212.23.216.83,TLS,443,5g_dmz,,78,78,223,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
1266,2023-03-09 13:18:10,1678367890358432,1678370378820097,2488.461664915085,100.99.5.132,162.210.158.14,TLS,443,,,78,78,222,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
1355,2023-03-09 13:18:12,1678367892711220,1678370384104253,2491.393033027649,100.99.5.133,162.210.158.14,TLS,443,,,78,78,221,1766623.8974358975,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
1369,2023-03-09 13:18:12,1678367892995005,1678370375752728,2482.757723093033,100.99.5.131,162.210.158.14,TLS,443,,,77,77,220,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
1575,2023-03-09 13:18:20,1678367900898210,1678370328799080,2427.900869846344,2a02:7500:45e6:25fe:72e9:2989:6210:a106,2a07:1182:0005:1001:0000:0000:0000:0008,,22,,baf_int,21,21,59,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
1623,2023-03-09 13:18:23,1678367903388550,1678370319004450,2415.615900039673,2a07:1182:0005:1001:0000:0000:0000:0004,2a07:1182:0101:0000:0000:0000:0000:015d,RDP,52632,baf_int,,21,21,59,1381420.1904761905,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
1873,2023-03-09 13:18:36,1678367916686476,1678370292664439,2375.9779629707336,100.101.0.115,10.5.1.26,,61879,,beg_int,20,20,57,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
2324,2023-03-09 13:19:09,1678367949715249,1678370296805085,2347.089835882187,10.5.8.39,100.101.1.10,,443,baf_int,,18,18,52,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
2361,2023-03-09 13:19:14,1678367954049831,1678370381951797,2427.9019660949707,2a07:1182:0101:0000:0000:0000:0000:015d,2a07:1182:0005:1001:0000:0000:0000:0002,,22,,baf_int,21,21,60,1726775.238095238,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
2416,2023-03-09 13:19:16,1678367956964381,1678370383837437,2426.873055934906,2a02:7500:45e6:25fe:72e9:2989:6210:a106,2a07:1182:0005:0001:0000:0000:0000:003a,,22,,beg_int,40,40,89,1677130.45,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
2472,2023-03-09 13:19:20,1678367960449497,1678370388101848,2427.6523509025574,2a07:1182:0101:0000:0000:0000:0000:015d,2a07:1182:0005:1001:0000:0000:0000:0003,,22,,baf_int,21,21,60,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
2480,2023-03-09 13:19:21,1678367961344723,1678370337398968,2376.054244995117,10.5.8.33,100.101.0.115,,80,baf_int,,20,20,24,1541146.9,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
2597,2023-03-09 13:19:27,1678367967619912,1678370395268639,2427.6487271785736,2a07:1182:0101:0000:0000:0000:0000:015d,2a07:1182:0005:1001:0000:0000:0000:0005,,22,,baf_int,21,21,60,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
2637,2023-03-09 13:19:31,1678367971580182,1678370319948696,2348.3685138225555,10.5.1.29,100.101.1.10,,443,beg_int,,18,18,52,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
2712,2023-03-09 13:19:35,1678367975921030,1678370359456479,2383.535449028015,100.101.0.115,10.5.8.31,,58581,,baf_int,62,62,176,1813114.0,True,True,malicious,True,12,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
2956,2023-03-09 13:19:46,1678367986825772,1678370362884653,2376.058881044388,100.101.0.115,10.5.8.38,,53868,,baf_int,20,20,58,1813114.0,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
7363,2023-03-09 13:31:38,1678368698606352,1678370083515696,1384.909343957901,10.5.8.31,100.101.0.115,,80,baf_int,,12,12,12,1510928.3333333333,True,True,malicious,True,4,150.68435215950012,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
8499,2023-03-09 13:36:24,1678368984874225,1678370396422871,1411.5486462116241,10.5.1.26,185.20.59.250,TLS,443,beg_int,,149,149,149,1764439.798657718,True,True,malicious,False,5,436.9522249698639,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
13871,2023-03-09 14:00:00,1678370400013287,1678373706776112,3306.762825012207,10.5.12.12,57.70.176.80,,80,baf_bg,,32782,32782,32782,1806145.1645415167,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
13872,2023-03-09 14:00:00,1678370400022410,1678376288515768,5888.493358135223,10.5.8.2,100.101.1.193,Http,80,baf_int,,149032,149032,149032,873039.8421412851,True,True,malicious,True,16,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
13873,2023-03-09 14:00:00,1678370400037403,1678370895686930,495.6495268344879,10.5.1.21,185.20.59.250,TLS,443,beg_int,,5783,5783,5783,1808724.6526024556,True,True,malicious,True,2,282.8780701160431,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
13874,2023-03-09 14:00:00,1678370400042258,1678376139935410,5739.89315199852,10.5.8.5,100.101.1.193,Http,80,baf_int,,117619,117619,117619,884860.1826915719,True,True,malicious,True,16,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
13875,2023-03-09 14:00:00,1678370400048445,1678370819094469,419.0460240840912,10.5.1.27,185.20.59.250,TLS,443,beg_int,,4721,4721,4721,1801976.4643084093,True,True,malicious,True,1,359.4705309867859,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
13876,2023-03-09 14:00:00,1678370400053738,1678376512924013,6112.870274782181,10.5.8.31,100.101.1.193,,80,baf_int,,405,405,405,1772822.5777777778,True,True,malicious,True,16,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
13877,2023-03-09 14:00:00,1678370400072246,1678376515623326,6115.55107998848,10.5.8.4,100.101.1.193,Http,80,baf_int,,140316,140316,140316,868980.8468029306,True,True,malicious,True,16,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
13880,2023-03-09 14:00:00,1678370400125534,1678370773674944,373.549409866333,10.5.1.23,185.20.59.250,TLS,443,beg_int,,4765,4765,4765,1805123.361175236,True,True,malicious,False,1,404.89005613327026,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
13900,2023-03-09 14:00:00,1678370400284280,1678374035276010,3634.9917299747467,10.5.8.2,57.70.176.80,,80,baf_int,,382,382,382,1813114.0,True,True,malicious,True,16,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
13937,2023-03-09 14:00:00,1678370400624488,1678374035327693,3634.703204870224,10.5.8.31,57.70.176.80,,80,baf_int,,382,382,382,1794128.5130890051,True,True,malicious,True,16,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
13954,2023-03-09 14:00:00,1678370400847746,1678374664768222,4263.920476198196,10.5.1.2,185.20.59.250,TLS,443,beg_int,,3905,3905,3905,1797791.9098591548,True,True,malicious,True,16,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
13960,2023-03-09 14:00:00,1678370400875630,1678374033979338,3633.1037080287933,10.5.1.2,57.70.176.80,,80,beg_int,,344,344,344,1792031.2790697673,True,True,malicious,True,16,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
13996,2023-03-09 14:00:01,1678370401472676,1678376507505229,6106.032552957535,2a07:1182:0005:1001:0000:0000:0000:0005,2a00:16e0:0100:0000:c16d:8ed9:e86a:1111,TLS,443,baf_int,,571,571,571,279429.1278458844,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14005,2023-03-09 14:00:01,1678370401546077,1678374033055039,3631.50896191597,10.5.12.14,57.70.176.80,,80,baf_bg,,382,382,382,1741918.4240837696,True,True,malicious,True,16,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
14094,2023-03-09 14:00:02,1678370402413055,1678374038024920,3635.61186504364,10.5.1.3,185.20.59.250,TLS,443,beg_int,,867,867,867,1712733.9861591696,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14099,2023-03-09 14:00:02,1678370402470541,1678373673513955,3271.0434141159058,10.5.8.7,57.70.176.80,,80,baf_int,,344,344,344,1813114.0,True,True,malicious,True,16,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
14109,2023-03-09 14:00:02,1678370402850098,1678374034861297,3632.0111989974976,10.5.8.8,57.70.176.80,,80,baf_int,,382,382,382,1813114.0,True,True,malicious,True,16,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
14115,2023-03-09 14:00:02,1678370402917794,1678370778034960,375.1171660423279,100.101.0.115,10.5.1.27,,61139,,beg_int,10,10,10,1269179.8,True,True,malicious,True,1,400.53004002571106,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
14138,2023-03-09 14:00:03,1678370403283291,1678373657299835,3254.016543865204,2a07:1182:0005:1001:0000:0000:0000:0005,2a02:7500:45e6:25fe:72e9:2989:6210:a106,RDP,35450,baf_int,,28,28,28,1100819.2142857143,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14149,2023-03-09 14:00:03,1678370403601802,1678376495746869,6092.145066976547,10.5.8.8,100.101.1.193,,80,baf_int,,202,202,202,1813114.0,True,True,malicious,True,16,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
14190,2023-03-09 14:00:04,1678370404555517,1678376382183279,5977.627762079239,10.5.8.7,100.101.1.193,,80,baf_int,,197,197,197,1813114.0,True,True,malicious,True,16,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
14199,2023-03-09 14:00:04,1678370404831245,1678373119260044,2714.4287991523743,10.5.8.38,57.70.176.80,,80,baf_int,,287,287,287,1800479.0592334494,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14209,2023-03-09 14:00:04,1678370404955819,1678374682456597,4277.500778198242,10.5.8.5,57.70.176.80,,80,baf_int,,384,384,384,1803670.6979166667,True,True,malicious,True,16,0.0,True,True,True,clearly malicious,confirmed-compromise host + attack traffic elsewhere,,
14252,2023-03-09 14:00:05,1678370405836846,1678370472203810,66.3669638633728,10.5.1.26,185.20.59.250,TLS,443,beg_int,,8,8,8,1359835.5,True,True,malicious,False,1,706.3611900806427,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14260,2023-03-09 14:00:05,1678370405959049,1678372991315797,2585.3567481040955,2a07:1182:0005:1001:0000:0000:0000:0037,2a00:16e0:0100:0000:c16d:8ed9:e86a:1111,TLS,443,baf_int,,271,271,271,869759.483394834,True,True,malicious,False,12,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14275,2023-03-09 14:00:06,1678370406348742,1678370796785762,390.43702006340027,10.5.1.25,185.20.59.250,TLS,443,beg_int,,82,82,82,1746780.5609756098,True,True,malicious,False,1,381.77923798561096,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
14281,2023-03-09 14:00:06,1678370406567949,1678374030895273,3624.327323913574,100.97.5.88,212.23.216.83,TLS,443,5g_dmz,,113,113,113,1797068.7433628319,True,True,malicious,False,16,0.0,True,True,True,probably malicious,both endpoints carry attack traffic in other episodes,,
