row_in_window,utc,ts_us,src,dst,sport,dport,proto_l3l4,conn,service,seg_src,seg_dst,ext_src,ext_dst,score,score_minus_cal_max,sec_to_nearest_malicious_flow
2310702,2023-03-09 15:32:06,1678375926521888,100.96.5.5,10.5.1.3,37407,3268,0,OTH,,beg_dmz,beg_int,0,0,6.581946,0.532972,0.0
2331579,2023-03-09 15:33:25,1678376005475021,10.5.1.3,100.101.1.32,54802,443,0,SF,TLS,beg_int,,0,1,6.750613,0.701639,0.0
2337211,2023-03-09 15:33:44,1678376024039537,10.5.1.3,100.101.1.32,54813,443,0,SF,TLS,beg_int,,0,1,6.961730,0.912756,0.0
2359297,2023-03-09 15:35:09,1678376109588602,10.5.1.3,100.101.1.32,54863,443,0,SF,TLS,beg_int,,0,1,6.225807,0.176833,0.0
2380138,2023-03-09 15:36:17,1678376177230760,10.5.1.3,100.101.1.32,54897,443,0,SF,TLS,beg_int,,0,1,7.084809,1.035834,0.0
2398802,2023-03-09 15:37:34,1678376254563400,10.5.1.3,100.101.1.32,54942,443,0,SF,TLS,beg_int,,0,1,6.477908,0.428934,0.0
2421736,2023-03-09 15:39:11,1678376351199539,10.5.1.3,100.101.1.32,55002,443,0,SF,TLS,beg_int,,0,1,6.648394,0.599419,0.0
2442127,2023-03-09 15:41:05,1678376465472066,10.5.1.3,100.101.1.32,55070,443,0,SF,TLS,beg_int,,0,1,7.084809,1.035834,0.0
2450708,2023-03-09 15:41:43,1678376503996255,10.5.1.3,100.101.1.32,55092,443,0,SF,TLS,beg_int,,0,1,7.210642,1.161668,0.0
2451264,2023-03-09 15:41:46,1678376506494186,10.5.1.2,100.101.1.24,51849,443,0,OTH,TLS,beg_int,,0,1,6.207917,0.158943,0.0
2452911,2023-03-09 15:41:55,1678376515216815,10.5.1.3,100.101.1.32,55097,443,0,S1,TLS,beg_int,,0,1,6.153826,0.104852,0.0
